sweep,H,L,T
1327,-72,0,0
1328,-72,0,0
1329,-112,0,0
1330,-112,0,0
1331,-120,0,0
1332,-116,0,0
1333,-96,0,0
1334,-120,0,0
1335,-116,0,0
1336,-116,0,0
1337,-112,0,0
1338,-120,0,0
1339,-108,0,0
1340,-112,0,0
1341,-108,0,0
1342,-128,0,0
1343,-88,0,0
1344,-120,0,0
1345,-120,0,0
1346,-128,0,0
1347,-104,0,0
1348,-80,0,0
1349,-120,0,0
1350,-108,0,0
1351,-88,0,0
1352,-100,0,0
1353,-96,0,0
1354,-128,0,0
1355,-120,0,0
1356,-108,0,0
1357,-120,0,0
1358,-128,0,0
1359,-104,0,0
1360,-120,0,0
1361,-112,0,0
1362,-104,0,0
1363,-116,0,0
1364,-128,0,0
1365,-116,0,0
1366,-112,0,0
1367,-108,0,0
1368,-112,0,0
1369,-92,0,0
1370,-120,0,0
1371,-104,0,0
1372,-108,0,0
1373,-128,0,0
1374,-120,0,0
1375,-112,0,0
1376,-112,0,0
1377,-100,0,0
1378,-92,0,0
1379,-96,0,0
1380,-128,0,0
1381,-112,0,0
1382,-100,0,0
1383,-120,0,0
1384,-112,0,0
1385,-120,0,0
1386,-120,0,0
1387,-128,0,0
1388,-128,0,0
1389,-120,0,0
1390,-112,0,0
1391,-128,0,0
1392,-116,0,0
1393,-100,0,0
1394,-120,0,0
1395,-96,0,0
1396,-88,0,0
1397,-128,0,0
1398,-120,0,0
1399,-120,0,0
1400,-128,0,0
1401,-112,0,0
1402,-128,0,0
1403,-128,0,0
1404,-116,0,0
1405,-128,0,0
1406,-128,0,0
1407,-128,0,0
1408,-120,0,0
1409,-128,0,0
1410,-128,0,0
1411,-112,0,0
1412,-108,0,0
1413,-112,0,0
1414,-116,0,0
1415,-116,0,0
1416,-120,0,0
1417,-128,0,0
1418,-100,0,0
1419,-120,0,0
1420,-104,0,0
1421,-120,0,0
1422,-120,0,0
1423,-116,0,0
1424,-116,0,0
1425,-128,0,0
1426,-120,0,0
1427,-128,0,0
1428,-116,0,0
1429,-120,0,0
1430,-128,0,0
1431,-120,0,0
1432,-120,0,0
1433,-128,0,0
1434,-120,0,0
1435,-108,0,0
1436,-112,0,0
1437,-112,0,0
1438,-128,0,0
1439,-128,0,0
1440,-128,0,0
1441,-128,0,0
1442,-120,0,0
1443,-128,0,0
1444,-128,0,0
1445,-120,0,0
1446,-128,0,0
1447,-116,0,0
1448,-128,0,0
1449,-112,0,0
1450,-112,0,0
1451,-128,0,0
1452,-100,0,0
1453,-120,0,0
1454,-120,0,0
1455,-120,0,0
1456,-128,0,0
1457,-112,0,0
1458,-112,0,0
1459,-120,0,0
1460,-128,0,0
1461,-116,0,0
1462,-120,0,0
1463,-112,0,0
1464,-128,0,0
1465,-112,0,0
1466,-120,0,0
1467,-120,0,0
1468,-96,0,0
1469,-104,0,0
1470,-108,0,0
1471,-104,0,0
1472,-128,0,0
1473,-128,0,0
1474,-112,0,0
1475,-128,0,0
1476,-112,0,0
1477,-112,0,0
1478,-112,0,0
1479,-120,0,0
1480,-120,0,0
1481,-96,0,0
1482,-112,0,0
1483,-100,0,0
1484,-120,0,0
1485,-104,0,0
1486,-128,0,0
1487,-120,0,0
1488,-112,0,0
1489,-128,0,0
1490,-96,0,0
1491,-120,0,0
